Reaction ID;dG0
ACACT8r;-34.8403
ACACt2pp;NaN
ACACtex;NaN
ACALD;-17.0044
ACALDtex;NaN
ACALDtpp;NaN
ACANTHAT;-18.1617
ACBIPGT;NaN
ACCOAC;-3.6709
ACCOAL;NaN
ACGAL1PPpp;-21.7698
ACGAL1Ptex;NaN
ACGALtex;NaN
ACGAM1PPpp;-19.6705
ACGAM1Ptex;NaN
ACGAMK;-11.3969
ACGAMT;4.5449
ACGAptspp;-39.0779
ACGAtex;NaN
ACGK;30.2681
ACGS;-27.7108
ACHBS;-21.8915
ACKr;13.4013
ACLS;-32.2514
ACM6PH;-5.9557
ACMAMUT;NaN
ACMANAptspp;-40.6279
ACMANAtex;NaN
ACMUMptspp;-42.2512
ACMUMtex;NaN
ACNAMt2pp;NaN
ACNAMtex;NaN
ACNML;7.8321
ACOAD1f;39.9694
ACOAD2f;NaN
ACOAD3f;46.2888
ACOAD4f;NaN
ACOAD5f;46.2888
ACOAD6f;46.2888
ACOAD7f;48.4292
ACOAD8f;46.2792
ACOATA;NaN
ACODA;-20.8933
ACOLIPAabctex;NaN
ACONIs;3.6722
ACONMT;57.7152
ACONTa;8.3144
ACONTb;-0.68503
ACOTA;-11.5629
ACPPAT120;NaN
ACPPAT140;NaN
ACPPAT141;NaN
ACPPAT160;NaN
ACPPAT161;NaN
ACPPAT180;NaN
ACPPAT181;NaN
ACPS1;NaN
ACS;-4.4728
ACSERtex;NaN
ACSERtpp;NaN
ACt2rpp;NaN
ACt4pp;NaN
ACtex;NaN
ADA;-22.9553
ADCL;-61.3961
ADCS;-16.2459
ADD;-22.0038
ADEt2rpp;NaN
ADEtex;NaN
ADK1;-2.5548
ADK3;-0.08423
ADK4;-6.2827
ADMDC;-22.3359
ADNCYC;7.046
ADNK1;-12.1956
ADNUC;-4.8708
ADNt2pp_copy1;NaN
ADNt2pp_copy2;NaN
ADNtex;NaN
ADOCBIK;NaN
ADOCBLS;NaN
ADOCBLabcpp;-26.3928
ADOCBLtonex;NaN
ADPRDP;-23.9285
ADPT;-17.1502
ADSK;-13.67
ADSL1r;10.1034
ADSL2r;NaN
ADSS;11.4869
AGDC;-6.9284
AGM3PA;NaN
AGM3PApp;NaN
AGM3PH;NaN
AGM3Pt2pp;NaN
AGM4PA;NaN
AGM4PApp;NaN
AGM4PCP;NaN
AGM4PCPpp;NaN
AGM4PH;NaN
AGM4Pt2pp;NaN
AGMH;NaN
AGMHE;NaN
AGMT;-57.6894
AGMt2pp;NaN
AGMtex;NaN
AGPAT120;NaN
AGPAT140;NaN
AGPAT141;NaN
AGPAT160;NaN
AGPAT161;NaN
AGPAT180;NaN
AGPAT181;NaN
AGPR;7.8343
AGt3;NaN
AHCYSNS;-14.8507
AICART;5.9509
AIRC2;NaN
AIRC3;-37.811
AKGDH;-27.2349
AKGt2rpp;NaN
AKGtex;NaN
ALAALAD;-2.1002
ALAALAabcpp;-26.3928
ALAALAr;-24.2926
ALAALAtex;NaN
ALAGLUE;NaN
ALAR;-0.039946
ALATA_D2;1.1316
ALATA_L;-0.22369
ALATA_L2;1.0917
ALATRS;NaN
ALAabcpp;-26.3928
ALAt2pp_copy1;NaN
ALAt2pp_copy2;NaN
ALAt4pp;NaN
ALAtex;NaN
ALCD19;-39.5832
ALCD2x;21.6832
ALDD19xr;-35.3509
ALDD2x;-46.9808
ALDD2y;-45.9914
ALDD3y;NaN
ALDD4;NaN
ALLK;-8.9215
ALLPI;0.63454
ALLTAMH;-28.4458
ALLTN;-53.7074
ALLTNt2rpp;NaN
ALLTNtex;NaN
ALLULPE;NaN
ALLabcpp;-26.3928
ALLtex;NaN
ALPATE160pp;NaN
ALPATG160pp;NaN
ALR2;-21.4325
ALR4x;-20.6432
ALTRH;-37.4297
AM3PA;NaN
AM4PA;NaN
AM4PCP;NaN
AMALT1;-1.17
AMALT2;NaN
AMALT3;NaN
AMALT4;NaN
AMANAPEr;-2.17
AMANK;-12.9469
AMAOTr;-0.6178
AMMQLT8;NaN
AMPMS2;NaN
AMPN;-19.3573
AMPTASECG;6.636
AMPTASEPG;NaN
AMPtex;NaN
ANHGMtex;NaN
ANHMK;NaN
ANPRT;-54.4954
ANS;-77.6448
AOBUTDs;-19.8107
AOXSr2;NaN
AP4AH;-35.8481
AP4AS;-1.1558
AP5AH;NaN
APCS;18.1201
APG3PAT120;NaN
APG3PAT140;NaN
APG3PAT141;NaN
APG3PAT160;NaN
APG3PAT161;NaN
APG3PAT180;NaN
APG3PAT181;NaN
APH120;NaN
APH140;NaN
APH141;NaN
APH160;NaN
APH161;NaN
APH180;NaN
APH181;NaN
APPLDHr;-20.3153
APRAUR;-27.5307
ARAI;-3.2821
ARBTNR1;NaN
ARBTNR2;NaN
ARBTNR3;NaN
ARBTNabcpp;-26.3928
ARBTNexs;NaN
ARBTNtex;NaN
ARBTNtonex;NaN
ARBTNtpp;NaN
ARBTptspp;-39.8714
ARBTtex;NaN
ARBabcpp;-26.3928
ARBt2rpp;NaN
ARBt3ipp;NaN
ARBtex;NaN
ARGAGMt7pp;NaN
ARGDC;-15.0032
ARGDCpp;-15.0032
ARGORNt7pp;21.74
ARGSL;12.4486
ARGSS;1.7321
ARGTRS;NaN
ARGabcpp;-26.3928
ARGt3pp;NaN
ARGtex;NaN
ASAD;-14.3671
ASCBPL;-95.2529
ASCBptspp;-42.3592
ASCBtex;NaN
ASNN;-16.3807
ASNNpp;-16.3807
ASNS1;-29.4963
ASNS2;-18.0684
ASNTRS;NaN
ASNabcpp;-26.3928
ASNt2rpp;NaN
ASNtex;NaN
ASO3t8pp;-26.3928
ASO3tex;NaN
ASP1DC;-20.9907
ASPCT;-21.321
ASPK;18.4396
ASPO3;NaN
ASPO4;NaN
ASPO5;1.1517
ASPO6;-69.1161
ASPT;13.931
ASPTA;2.884
ASPTRS;NaN
ASPabcpp;-26.3928
ASPt2_2pp;NaN
ASPt2_3pp;NaN
ASPt2pp_copy1;NaN
ASPt2pp_copy2;NaN
ASPtex;NaN
ASR;NaN
AST;-16.6401
ATHRDHr;20.054
ATPHs;-57.8183
ATPM;-26.3928
ATPPRT;NaN
ATPS4rpp;26.3928
BALAt2pp;NaN
BALAtex;NaN
BETALDHx;-35.7815
BETALDHy;-34.7921
BMOCOS;NaN
BMOGDS1;NaN
BMOGDS2;NaN
BPNT;-10.7786
BSORx;NaN
BSORy;NaN
BTNt2ipp;NaN
BTNtex;NaN
BTS5;NaN
BUTCT;NaN
BUTSO3abcpp;NaN
BUTSO3tex;NaN
BUTt2rpp;NaN
BUTtex;NaN
BWCOGDS1;NaN
BWCOGDS2;NaN
BWCOS;NaN
